### Grand Archive Deck: Ciel Starter Deck
## Material Deck
1x Spirit of Fire
1x Ciel, Loyal Valet
1x Ciel, Omenbringer
1x Ciel, Mirage’s Grave
1x Bauble of Abundance
1x Grande Aiguille
1x Bulwark Sword
1x Leporine Masque
1x Life Essence Amulet
1x Tariff Ring
1x Manxome Armoire
1x Grande Sonnerie
## Main Deck
3x Coy Bauclier 
3x Sablier Guard
4x Stalwart Shielmate
3x Vigil Rampart
4x Whimsy’s Warden
4x Conflagrant Sentinel
3x Torch Marshal
4x Heavy Swing
2x Lamentation’s Toll
4x Flamme Sorcel
3x Tempered Steel
4x Idle Thoughts
2x Martial Guard
2x Overpowering Defense
4x Ombreux Chavalier
3x Sinistre Stab
3x Umbra Sight
2x Reverse Affliction
2x Nocturne’s Oblivion
1x Devotion’s Price
